,modelo,parametros,rmse,nlpd,mape,fold,tentativa
70,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.030658435868385125, 'order': 4.0}",1873115.661930554,,1.010461744636885,0,14.0
71,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.030658435868385125, 'order': 4.0}",95910.8783172589,,0.9667501461206158,1,14.0
72,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.030658435868385125, 'order': 4.0}",8138500.72242235,,1.0014685156660226,2,14.0
73,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.030658435868385125, 'order': 4.0}",5859873.274313242,,1.0368215597182768,3,14.0
74,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.030658435868385125, 'order': 4.0}",76977.70241496435,,0.9390772334045141,4,14.0
75,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.09790564648266403, 'order': 5.0}",5590501611337815.0,,1.000000000041794,0,15.0
76,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.09790564648266403, 'order': 5.0}",2614960643458.9517,,0.9999999994232113,1,15.0
77,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.09790564648266403, 'order': 5.0}",391218927372489.9,,1.0000000000133158,2,15.0
78,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.09790564648266403, 'order': 5.0}",2191215251720.8918,,1.0000000217465304,3,15.0
79,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.09790564648266403, 'order': 5.0}",338978695944.45483,,1.0000000779107538,4,15.0
80,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.0014478942861538048, 'order': 3.0}",5246.374420660394,,1.0972610779860852,0,16.0
81,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.0014478942861538048, 'order': 3.0}",2829.0259803106887,17.608085537460855,1.006196650634831,1,16.0
82,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.0014478942861538048, 'order': 3.0}",3094.711738579566,,0.8728945736137572,2,16.0
