,modelo,parametros,rmse,nlpd,mape,fold,tentativa
156,BayesianRBFLinearRegression,"{'sig2_error': 0.19840447063665687, 'mean_rbf_arbitrario': 0.6417695416656297, 'lambda_rbf_arbitrario': 0.06727685295514625}",3661.841695938401,20.067785726018364,0.6048879484614825,1,31.0
157,BayesianRBFLinearRegression,"{'sig2_error': 0.19840447063665687, 'mean_rbf_arbitrario': 0.6417695416656297, 'lambda_rbf_arbitrario': 0.06727685295514625}",3371.2148616749228,20.07040399751217,0.5579463057053119,2,31.0
158,BayesianRBFLinearRegression,"{'sig2_error': 0.19840447063665687, 'mean_rbf_arbitrario': 0.6417695416656297, 'lambda_rbf_arbitrario': 0.06727685295514625}",3909.208578949051,20.06648524391729,0.6090062695044564,3,31.0
159,BayesianRBFLinearRegression,"{'sig2_error': 0.19840447063665687, 'mean_rbf_arbitrario': 0.6417695416656297, 'lambda_rbf_arbitrario': 0.06727685295514625}",29691.77420062284,17.399125498597577,1.0144780134603022,4,31.0
160,BayesianRBFLinearRegression,"{'sig2_error': 0.37604278583759676, 'mean_rbf_arbitrario': 0.8145467146760776, 'lambda_rbf_arbitrario': 0.8383868430409999}",3566.479296677014,20.38759938176274,0.6916354066812369,0,32.0
161,BayesianRBFLinearRegression,"{'sig2_error': 0.37604278583759676, 'mean_rbf_arbitrario': 0.8145467146760776, 'lambda_rbf_arbitrario': 0.8383868430409999}",3524.7567961645304,20.387488064231338,0.690175802089153,1,32.0
162,BayesianRBFLinearRegression,"{'sig2_error': 0.37604278583759676, 'mean_rbf_arbitrario': 0.8145467146760776, 'lambda_rbf_arbitrario': 0.8383868430409999}",3290.9190304712142,20.390091121378717,0.7247065065220116,2,32.0
163,BayesianRBFLinearRegression,"{'sig2_error': 0.37604278583759676, 'mean_rbf_arbitrario': 0.8145467146760776, 'lambda_rbf_arbitrario': 0.8383868430409999}",3642.519144679386,20.386170875547073,0.648806430782522,3,32.0
164,BayesianRBFLinearRegression,"{'sig2_error': 0.37604278583759676, 'mean_rbf_arbitrario': 0.8145467146760776, 'lambda_rbf_arbitrario': 0.8383868430409999}",29601.349000430855,17.718810261573065,0.748358861189984,4,32.0
165,BayesianRBFLinearRegression,"{'sig2_error': 0.2547330044767466, 'mean_rbf_arbitrario': 0.6147400379127974, 'lambda_rbf_arbitrario': 0.25984421484281245}",3597.8169682978555,20.192836540568685,0.611423360644767,0,33.0
166,BayesianRBFLinearRegression,"{'sig2_error': 0.2547330044767466, 'mean_rbf_arbitrario': 0.6147400379127974, 'lambda_rbf_arbitrario': 0.25984421484281245}",3644.014815517843,20.19275219168915,1.7309755304555583,1,33.0
167,BayesianRBFLinearRegression,"{'sig2_error': 0.2547330044767466, 'mean_rbf_arbitrario': 0.6147400379127974, 'lambda_rbf_arbitrario': 0.25984421484281245}",3358.8446607713795,20.195351240118548,0.6378039021225047,2,33.0
168,BayesianRBFLinearRegression,"{'sig2_error': 0.2547330044767466, 'mean_rbf_arbitrario': 0.6147400379127974, 'lambda_rbf_arbitrario': 0.25984421484281245}",3725.8367575278035,20.19144236660425,0.767720914999677,3,33.0
169,BayesianRBFLinearRegression,"{'sig2_error': 0.2547330044767466, 'mean_rbf_arbitrario': 0.6147400379127974, 'lambda_rbf_arbitrario': 0.25984421484281245}",29660.62239425348,17.52408414537964,0.8342496486523725,4,33.0
170,BayesianRBFLinearRegression,"{'sig2_error': 0.5356142274759363, 'mean_rbf_arbitrario': -0.26316972917787873, 'lambda_rbf_arbitrario': 0.7418117630946284}",3574.7853083913906,20.56445047359481,0.6963995179980578,0,34.0
171,BayesianRBFLinearRegression,"{'sig2_error': 0.5356142274759363, 'mean_rbf_arbitrario': -0.26316972917787873, 'lambda_rbf_arbitrario': 0.7418117630946284}",3542.313188450144,20.56434350468255,0.6917305286577378,1,34.0
172,BayesianRBFLinearRegression,"{'sig2_error': 0.5356142274759363, 'mean_rbf_arbitrario': -0.26316972917787873, 'lambda_rbf_arbitrario': 0.7418117630946284}",3305.510129355749,20.566944472156077,0.7851333293885391,2,34.0
173,BayesianRBFLinearRegression,"{'sig2_error': 0.5356142274759363, 'mean_rbf_arbitrario': -0.26316972917787873, 'lambda_rbf_arbitrario': 0.7418117630946284}",3652.5801796145774,20.56302761952486,0.6554645656597918,3,34.0
174,BayesianRBFLinearRegression,"{'sig2_error': 0.5356142274759363, 'mean_rbf_arbitrario': -0.26316972917787873, 'lambda_rbf_arbitrario': 0.7418117630946284}",29606.775978052512,17.895666973323824,0.7528966999305646,4,34.0
175,BayesianRBFLinearRegression,"{'sig2_error': 0.31867228943966974, 'mean_rbf_arbitrario': 0.5125705130342686, 'lambda_rbf_arbitrario': 0.6930242631206338}",3579.303172733995,20.3048266934174,0.7063252547922776,0,35.0
176,BayesianRBFLinearRegression,"{'sig2_error': 0.31867228943966974, 'mean_rbf_arbitrario': 0.5125705130342686, 'lambda_rbf_arbitrario': 0.6930242631206338}",3551.551140532032,20.304722414302645,0.693033412473346,1,35.0
177,BayesianRBFLinearRegression,"{'sig2_error': 0.31867228943966974, 'mean_rbf_arbitrario': 0.5125705130342686, 'lambda_rbf_arbitrario': 0.6930242631206338}",3312.7432409498024,20.307320792121814,1.631393504691151,2,35.0
178,BayesianRBFLinearRegression,"{'sig2_error': 0.31867228943966974, 'mean_rbf_arbitrario': 0.5125705130342686, 'lambda_rbf_arbitrario': 0.6930242631206338}",3657.992580176641,20.303404356813864,0.6629954752243756,3,35.0
179,BayesianRBFLinearRegression,"{'sig2_error': 0.31867228943966974, 'mean_rbf_arbitrario': 0.5125705130342686, 'lambda_rbf_arbitrario': 0.6930242631206338}",29610.345828154284,17.636045747595503,0.756002717190689,4,35.0
180,BayesianRBFLinearRegression,"{'sig2_error': 0.04839883183566163, 'mean_rbf_arbitrario': -0.6241925691468424, 'lambda_rbf_arbitrario': 0.23352738455465608}",3593.9693886914274,19.362466010021702,0.6181541789891485,0,36.0
181,BayesianRBFLinearRegression,"{'sig2_error': 0.04839883183566163, 'mean_rbf_arbitrario': -0.6241925691468424, 'lambda_rbf_arbitrario': 0.23352738455465608}",3645.613007698707,19.36238276342646,0.6461888451258551,1,36.0
182,BayesianRBFLinearRegression,"{'sig2_error': 0.04839883183566163, 'mean_rbf_arbitrario': -0.6241925691468424, 'lambda_rbf_arbitrario': 0.23352738455465608}",3356.1282136543937,19.36498317232713,1.4210750473549512,2,36.0
183,BayesianRBFLinearRegression,"{'sig2_error': 0.04839883183566163, 'mean_rbf_arbitrario': -0.6241925691468424, 'lambda_rbf_arbitrario': 0.23352738455465608}",3732.2320633128297,19.36107375593496,0.6960164660312649,3,36.0
184,BayesianRBFLinearRegression,"{'sig2_error': 0.04839883183566163, 'mean_rbf_arbitrario': -0.6241925691468424, 'lambda_rbf_arbitrario': 0.23352738455465608}",29664.297944089183,16.69372261599538,0.8469842726581072,4,36.0
185,BayesianRBFLinearRegression,"{'sig2_error': 0.7409425859796402, 'mean_rbf_arbitrario': 0.5113389574141125, 'lambda_rbf_arbitrario': 0.20036961274021892}",3588.0954260103554,20.726683375233527,0.6654337251985118,0,37.0
186,BayesianRBFLinearRegression,"{'sig2_error': 0.7409425859796402, 'mean_rbf_arbitrario': 0.5113389574141125, 'lambda_rbf_arbitrario': 0.20036961274021892}",3645.9147769002952,20.72660095847334,0.628224633249573,1,37.0
187,BayesianRBFLinearRegression,"{'sig2_error': 0.7409425859796402, 'mean_rbf_arbitrario': 0.5113389574141125, 'lambda_rbf_arbitrario': 0.20036961274021892}",3352.7875837719303,20.72920460654501,0.5983229535356402,2,37.0
188,BayesianRBFLinearRegression,"{'sig2_error': 0.7409425859796402, 'mean_rbf_arbitrario': 0.5113389574141125, 'lambda_rbf_arbitrario': 0.20036961274021892}",3743.0586380086174,20.725295056069836,0.6616960464787044,3,37.0
189,BayesianRBFLinearRegression,"{'sig2_error': 0.7409425859796402, 'mean_rbf_arbitrario': 0.5113389574141125, 'lambda_rbf_arbitrario': 0.20036961274021892}",29668.146296310737,18.057934369421215,0.8615994015868673,4,37.0
190,BayesianRBFLinearRegression,"{'sig2_error': 0.8874159622726904, 'mean_rbf_arbitrario': -0.1113261058915358, 'lambda_rbf_arbitrario': 0.00391648121039773}",4027.538832270809,20.816069373733153,0.6216273335812688,0,38.0
191,BayesianRBFLinearRegression,"{'sig2_error': 0.8874159622726904, 'mean_rbf_arbitrario': -0.1113261058915358, 'lambda_rbf_arbitrario': 0.00391648121039773}",4065.487174911098,20.816014648777074,0.6261595088898998,1,38.0
192,BayesianRBFLinearRegression,"{'sig2_error': 0.8874159622726904, 'mean_rbf_arbitrario': -0.1113261058915358, 'lambda_rbf_arbitrario': 0.00391648121039773}",3714.032616886185,20.81861811427891,0.5832875866470351,2,38.0
193,BayesianRBFLinearRegression,"{'sig2_error': 0.8874159622726904, 'mean_rbf_arbitrario': -0.1113261058915358, 'lambda_rbf_arbitrario': 0.00391648121039773}",4207.2161051802,20.814710100003506,0.6374142497057872,3,38.0
194,BayesianRBFLinearRegression,"{'sig2_error': 0.8874159622726904, 'mean_rbf_arbitrario': -0.1113261058915358, 'lambda_rbf_arbitrario': 0.00391648121039773}",29662.07859734373,18.14733499862959,0.7852969322056662,4,38.0
195,BayesianRBFLinearRegression,"{'sig2_error': 0.5324248993307285, 'mean_rbf_arbitrario': -0.5870855367990566, 'lambda_rbf_arbitrario': 0.8859852092302148}",3562.6861557754614,20.56146729606723,0.7028836984131159,0,39.0
196,BayesianRBFLinearRegression,"{'sig2_error': 0.5324248993307285, 'mean_rbf_arbitrario': -0.5870855367990566, 'lambda_rbf_arbitrario': 0.8859852092302148}",3517.5967609627837,20.561353558063395,0.6913239295831286,1,39.0
197,BayesianRBFLinearRegression,"{'sig2_error': 0.5324248993307285, 'mean_rbf_arbitrario': -0.5870855367990566, 'lambda_rbf_arbitrario': 0.8859852092302148}",3284.7471712682936,20.563959239856413,0.7446747923619246,2,39.0
198,BayesianRBFLinearRegression,"{'sig2_error': 0.5324248993307285, 'mean_rbf_arbitrario': -0.5870855367990566, 'lambda_rbf_arbitrario': 0.8859852092302148}",3638.3852802876004,20.560038534673613,0.6463828298084576,3,39.0
199,BayesianRBFLinearRegression,"{'sig2_error': 0.5324248993307285, 'mean_rbf_arbitrario': -0.5870855367990566, 'lambda_rbf_arbitrario': 0.8859852092302148}",29598.95085328207,17.89267621141597,0.7461851280172137,4,39.0
200,BayesianRBFLinearRegression,"{'sig2_error': 0.09819792853773555, 'mean_rbf_arbitrario': -0.7637383940911193, 'lambda_rbf_arbitrario': 0.6610216657778678}",3582.402820812561,19.71623949467774,0.7262367130539428,0,40.0
201,BayesianRBFLinearRegression,"{'sig2_error': 0.09819792853773555, 'mean_rbf_arbitrario': -0.7637383940911193, 'lambda_rbf_arbitrario': 0.6610216657778678}",3557.927211039024,19.716137151798236,0.6948554202203364,1,40.0
