,modelo,parametros,rmse,nlpd,fold,tentativa
116,RBFLinearRegression,"{'sig2_error': 1.0, 'mean_rbf_arbitrario': 1.0, 'lambda_rbf_arbitrario': 1e-07}",3707.3942627363813,1717330.6753820179,1,23.0
117,RBFLinearRegression,"{'sig2_error': 1.0, 'mean_rbf_arbitrario': 1.0, 'lambda_rbf_arbitrario': 1e-07}",4128.886353687922,2129914.6337276474,2,23.0
118,RBFLinearRegression,"{'sig2_error': 1.0, 'mean_rbf_arbitrario': 1.0, 'lambda_rbf_arbitrario': 1e-07}",3934.256458099529,1934474.959892963,3,23.0
119,RBFLinearRegression,"{'sig2_error': 1.0, 'mean_rbf_arbitrario': 1.0, 'lambda_rbf_arbitrario': 1e-07}",3800.6627525162644,1804500.458016168,4,23.0
120,RBFLinearRegression,"{'sig2_error': 1e-07, 'mean_rbf_arbitrario': 1.0, 'lambda_rbf_arbitrario': 1.0000000000287557e-07}",3542.2089061967813,15678680233431.752,0,24.0
121,RBFLinearRegression,"{'sig2_error': 1e-07, 'mean_rbf_arbitrario': 1.0, 'lambda_rbf_arbitrario': 1.0000000000287557e-07}",3707.95711221593,17178107552361.94,1,24.0
122,RBFLinearRegression,"{'sig2_error': 1e-07, 'mean_rbf_arbitrario': 1.0, 'lambda_rbf_arbitrario': 1.0000000000287557e-07}",4128.755990078517,21297025740395.258,2,24.0
123,RBFLinearRegression,"{'sig2_error': 1e-07, 'mean_rbf_arbitrario': 1.0, 'lambda_rbf_arbitrario': 1.0000000000287557e-07}",3933.6621464261434,19338888401722.918,3,24.0
124,RBFLinearRegression,"{'sig2_error': 1e-07, 'mean_rbf_arbitrario': 1.0, 'lambda_rbf_arbitrario': 1.0000000000287557e-07}",3800.3634069963396,18041712907416.027,4,24.0
125,RBFLinearRegression,"{'sig2_error': 1e-07, 'mean_rbf_arbitrario': -0.8647509830142116, 'lambda_rbf_arbitrario': 0.7119266514567124}",2937.7218759225275,,0,25.0
126,RBFLinearRegression,"{'sig2_error': 1e-07, 'mean_rbf_arbitrario': -0.8647509830142116, 'lambda_rbf_arbitrario': 0.7119266514567124}",2876.4700820509993,,1,25.0
127,RBFLinearRegression,"{'sig2_error': 1e-07, 'mean_rbf_arbitrario': -0.8647509830142116, 'lambda_rbf_arbitrario': 0.7119266514567124}",3399.872848942217,,2,25.0
128,RBFLinearRegression,"{'sig2_error': 1e-07, 'mean_rbf_arbitrario': -0.8647509830142116, 'lambda_rbf_arbitrario': 0.7119266514567124}",2777.837140207719,,3,25.0
129,RBFLinearRegression,"{'sig2_error': 1e-07, 'mean_rbf_arbitrario': -0.8647509830142116, 'lambda_rbf_arbitrario': 0.7119266514567124}",2983.765707646342,55170130529.44123,4,25.0
130,RBFLinearRegression,"{'sig2_error': 1e-07, 'mean_rbf_arbitrario': 0.12350728231659845, 'lambda_rbf_arbitrario': 1.0}",3491.233273991887,16473153843.818308,0,26.0
131,RBFLinearRegression,"{'sig2_error': 1e-07, 'mean_rbf_arbitrario': 0.12350728231659845, 'lambda_rbf_arbitrario': 1.0}",3494.7056760080295,9733296712.658815,1,26.0
132,RBFLinearRegression,"{'sig2_error': 1e-07, 'mean_rbf_arbitrario': 0.12350728231659845, 'lambda_rbf_arbitrario': 1.0}",3887.9205100413474,25781656125.67262,2,26.0
133,RBFLinearRegression,"{'sig2_error': 1e-07, 'mean_rbf_arbitrario': 0.12350728231659845, 'lambda_rbf_arbitrario': 1.0}",3404.5667772956435,,3,26.0
134,RBFLinearRegression,"{'sig2_error': 1e-07, 'mean_rbf_arbitrario': 0.12350728231659845, 'lambda_rbf_arbitrario': 1.0}",3576.9509182107868,236244280553.0311,4,26.0
135,RBFLinearRegression,"{'sig2_error': 0.38673447271378897, 'mean_rbf_arbitrario': -0.9175658951081124, 'lambda_rbf_arbitrario': 0.4827979651254314}",2890.025391793147,2693492.1886163065,0,27.0
136,RBFLinearRegression,"{'sig2_error': 0.38673447271378897, 'mean_rbf_arbitrario': -0.9175658951081124, 'lambda_rbf_arbitrario': 0.4827979651254314}",2847.1070468632715,2614566.6851177043,1,27.0
137,RBFLinearRegression,"{'sig2_error': 0.38673447271378897, 'mean_rbf_arbitrario': -0.9175658951081124, 'lambda_rbf_arbitrario': 0.4827979651254314}",3378.98232910461,3682917.713478056,2,27.0
138,RBFLinearRegression,"{'sig2_error': 0.38673447271378897, 'mean_rbf_arbitrario': -0.9175658951081124, 'lambda_rbf_arbitrario': 0.4827979651254314}",2727.864217781239,2400283.0905975928,3,27.0
139,RBFLinearRegression,"{'sig2_error': 0.38673447271378897, 'mean_rbf_arbitrario': -0.9175658951081124, 'lambda_rbf_arbitrario': 0.4827979651254314}",2943.60031814178,2794600.7481546733,4,27.0
140,RBFLinearRegression,"{'sig2_error': 0.6037360304992389, 'mean_rbf_arbitrario': -1.0, 'lambda_rbf_arbitrario': 0.3240330374264649}",2830.0072084696035,1654488.1419237908,0,28.0
141,RBFLinearRegression,"{'sig2_error': 0.6037360304992389, 'mean_rbf_arbitrario': -1.0, 'lambda_rbf_arbitrario': 0.3240330374264649}",2790.992155917433,1609395.2926578745,1,28.0
142,RBFLinearRegression,"{'sig2_error': 0.6037360304992389, 'mean_rbf_arbitrario': -1.0, 'lambda_rbf_arbitrario': 0.3240330374264649}",3345.9847835257196,2313234.425912714,2,28.0
143,RBFLinearRegression,"{'sig2_error': 0.6037360304992389, 'mean_rbf_arbitrario': -1.0, 'lambda_rbf_arbitrario': 0.3240330374264649}",2659.4998452520053,1461438.1089908476,3,28.0
144,RBFLinearRegression,"{'sig2_error': 0.6037360304992389, 'mean_rbf_arbitrario': -1.0, 'lambda_rbf_arbitrario': 0.3240330374264649}",2884.6329319901633,1719116.0345168004,4,28.0
145,RBFLinearRegression,"{'sig2_error': 1.0, 'mean_rbf_arbitrario': -0.7332112230128843, 'lambda_rbf_arbitrario': 0.8456001434416266}",2982.7711893730357,1109762.604893464,0,29.0
146,RBFLinearRegression,"{'sig2_error': 1.0, 'mean_rbf_arbitrario': -0.7332112230128843, 'lambda_rbf_arbitrario': 0.8456001434416266}",2992.378493905069,1117184.3531207766,1,29.0
147,RBFLinearRegression,"{'sig2_error': 1.0, 'mean_rbf_arbitrario': -0.7332112230128843, 'lambda_rbf_arbitrario': 0.8456001434416266}",3471.179157948857,1503392.9475370618,2,29.0
148,RBFLinearRegression,"{'sig2_error': 1.0, 'mean_rbf_arbitrario': -0.7332112230128843, 'lambda_rbf_arbitrario': 0.8456001434416266}",2859.8763948140036,1020406.266430085,3,29.0
149,RBFLinearRegression,"{'sig2_error': 1.0, 'mean_rbf_arbitrario': -0.7332112230128843, 'lambda_rbf_arbitrario': 0.8456001434416266}",3061.0741360677,1168997.3018657318,4,29.0
150,RBFLinearRegression,"{'sig2_error': 1e-07, 'mean_rbf_arbitrario': -1.0, 'lambda_rbf_arbitrario': 0.4893140478400557}",2870.025426470517,,0,30.0
151,RBFLinearRegression,"{'sig2_error': 1e-07, 'mean_rbf_arbitrario': -1.0, 'lambda_rbf_arbitrario': 0.4893140478400557}",2816.4570985149335,,1,30.0
152,RBFLinearRegression,"{'sig2_error': 1e-07, 'mean_rbf_arbitrario': -1.0, 'lambda_rbf_arbitrario': 0.4893140478400557}",3363.203487006313,35377471226.318756,2,30.0
